Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.5978,0.6773,0.9757,0.805,0.4724,0.7072,0.9973,0.8231
2,0.3373,0.858,0.921,0.8986,0.2572,0.895,0.9353,0.9241
3,0.1687,0.9405,0.9453,0.956,0.214,0.9153,0.9353,0.9378
4,0.087,0.9746,0.9764,0.9813,0.2226,0.9134,0.9299,0.9362
5,0.057,0.9811,0.9811,0.9861,0.2585,0.9245,0.9299,0.9439
6,0.0372,0.9889,0.9885,0.9919,0.2265,0.9245,0.938,0.9444
7,0.024,0.9931,0.9912,0.9949,0.2671,0.9245,0.9515,0.9451
8,0.0153,0.9935,0.9926,0.9953,0.2891,0.9208,0.9542,0.9427
9,0.0125,0.9968,0.998,0.9976,0.3139,0.9282,0.9488,0.9475
10,0.0108,0.9968,0.9959,0.9976,0.3135,0.9245,0.9488,0.945
11,0.008,0.9982,0.9986,0.9986,0.3138,0.9245,0.9488,0.945
12,0.0059,0.9986,0.998,0.999,0.3834,0.9116,0.965,0.9372
13,0.0208,0.9922,0.9946,0.9943,0.3486,0.919,0.9434,0.9409
14,0.0264,0.9917,0.9926,0.9939,0.3528,0.9227,0.9461,0.9435
15,0.0137,0.9945,0.9959,0.9959,0.3065,0.9263,0.9677,0.9472
16,0.0059,0.9982,0.998,0.9986,0.333,0.9227,0.9488,0.9437
17,0.0037,0.9986,0.9986,0.999,0.3473,0.919,0.9407,0.9407
18,0.0017,1.0,1.0,1.0,0.3454,0.9245,0.9569,0.9454
19,0.0014,1.0,1.0,1.0,0.3495,0.9208,0.9542,0.9427
20,0.0013,1.0,1.0,1.0,0.364,0.9208,0.9461,0.9423
21,0.0012,1.0,1.0,1.0,0.3649,0.9208,0.9488,0.9424
22,0.0032,0.9991,0.9993,0.9993,0.4079,0.9116,0.9191,0.9342
23,0.0015,0.9995,0.9993,0.9997,0.3955,0.9245,0.9623,0.9457
24,0.0118,0.9968,0.998,0.9976,0.4434,0.9171,0.973,0.9413
25,0.0248,0.994,0.9953,0.9956,0.2739,0.9245,0.9623,0.9457
26,0.0058,0.9982,0.998,0.9986,0.3822,0.9153,0.9326,0.9377
27,0.0024,0.9986,0.9993,0.999,0.3612,0.9171,0.9434,0.9396
28,0.0031,0.9991,0.9993,0.9993,0.3843,0.9208,0.9407,0.942
29,0.0012,1.0,1.0,1.0,0.3853,0.9208,0.9407,0.942
30,0.0007,1.0,1.0,1.0,0.3827,0.919,0.9407,0.9407
