Epoch,Train Loss,Train Acc,Train Recall,Train F1,Val Loss,Val Acc,Val Recall,Val F1
1,0.6949991407217803,0.6961654401603096,0.6301416710873791,0.6120852313423759,0.5263166129589081,0.7678768382352941,0.7348211817352684,0.7232150560712356
2,0.2975553108586205,0.8700399910171365,0.8500754589868982,0.8503118018202585,0.4912543803453445,0.7545496323529413,0.7607233051033613,0.7209578046681484
3,0.20036823164533685,0.9063018242122719,0.8894196148646742,0.8877590054444956,0.46833544969558716,0.7819852941176471,0.7245891393313182,0.7225158190065718
4,0.14231699622339672,0.9254120024875623,0.9057717623985658,0.9051690472773729,0.49862502217292787,0.7823529411764706,0.6923040138691319,0.7248859604616428
5,0.12207966753178173,0.9333303102542841,0.9142665877995834,0.9143440100685821,0.5693122655153274,0.7772058823529412,0.6878914045685014,0.68694693420324
6,0.10719519908781405,0.9372495163073522,0.9171902203039913,0.9178564736179519,0.5666236221790314,0.7921415441176471,0.6920457891942995,0.7010009000553873
7,0.10099663123212478,0.9400113149530127,0.9235443112383616,0.9220296353641788,0.6246680498123169,0.7616268382352941,0.7037954768303585,0.698193929578687
8,0.0927317813038826,0.9418791459369819,0.9244327079318458,0.9238045974445268,0.6569470554590225,0.7388786764705882,0.6893834936605072,0.6771100705905312
9,0.08975728835772585,0.9419309701492538,0.9269698483223622,0.9232786998977041,0.6583364069461822,0.7573529411764706,0.7075554280947202,0.6974810522331608
10,0.08730214985984343,0.947206243090105,0.9327668605704368,0.9308205100933087,0.6747994512319565,0.7487132352941177,0.6869679725797342,0.6790293469899904
11,0.08620023927478879,0.9476661829740188,0.9310503719934974,0.9301368347224058,0.6272439137101173,0.7612591911764706,0.673152811165275,0.7036586873298089
12,0.09997783318437913,0.9386962755666114,0.9215198256055123,0.9208142533681934,0.8457407802343369,0.7201746323529412,0.6815477434991843,0.6913096587968378
13,0.10797910895888452,0.9381564400221116,0.9244031381816198,0.9215846709404093,0.7819940686225891,0.7635110294117646,0.6701041890350188,0.7040423960320258
14,0.10114798549976614,0.9397349191542289,0.9220915214771067,0.9218839192668932,0.8918555408716202,0.7626838235294118,0.6449397927404491,0.6510759973965905
15,0.09575613339742024,0.9410110903814263,0.9244753854326836,0.923055474720474,0.8191332578659057,0.7568933823529412,0.6688590430933329,0.6677974682170482
16,0.08859422968493567,0.9415768380320619,0.9273332376055835,0.9242038031284344,0.7731336534023285,0.7827665441176471,0.6922140372881354,0.6879420367047124
17,0.08559539141478362,0.9428918774184633,0.9187371780893613,0.9224004478454687,0.8344894856214523,0.7436580882352941,0.6706984103097783,0.6932659983116
18,0.08008980757936283,0.951125449143173,0.9388842252231275,0.9358952759090107,0.9026609480381012,0.7146139705882353,0.6678871552187676,0.6885892394812476
19,0.07958173206834881,0.9487307386677722,0.933516882639171,0.9334952719766917,0.9234553635120392,0.7444393382352941,0.686460025603538,0.6797067632276635
20,0.07919732674404427,0.9475344631011609,0.9328501739515233,0.9312159971163099,0.9317311465740203,0.7428768382352942,0.6773501523050369,0.6711355336640115
21,0.078418193385005,0.951138405196241,0.9392352687270945,0.9364376431255309,0.959222811460495,0.7377757352941177,0.6914833449400087,0.6834427140033084
22,0.08248968029187785,0.943351817302377,0.926491646687676,0.9246265752282029,0.9438578605651855,0.7283547794117646,0.6720194913886275,0.6612437627476375
23,0.0920760174178415,0.9442069168048646,0.9308954354887402,0.927970240759957,0.9211671233177186,0.7295496323529412,0.6725244573822716,0.6635358006466378
24,0.08615551350845231,0.9404712548369264,0.9228447124077498,0.9220895478896156,0.8590778470039367,0.7405330882352941,0.6806460173474245,0.6727882876038074
25,0.08559605472341732,0.9430235972913211,0.9271946193266966,0.9252235036224471,1.0311150133609772,0.7154411764705882,0.6716026190474434,0.657274391307279
26,0.08309848468612742,0.9453643242122719,0.9324912398008676,0.9298159550327932,1.0458366811275481,0.7209558823529412,0.6580911411188144,0.6529975560478981
